1,山田太郎,yamada@example.com,test,1,0,1,1,2023-10-01 10:00:00
2,鈴木花子,suzuki@example.com,test,0,1,0,1,2023-10-02 11:00:00
3,佐藤次郎,sato@example.com,test,1,1,1,0,2023-10-03 12:00:00
4,田中美咲,tanaka@example.com,test,0,0,1,1,2023-10-04 13:00:00
5,高橋健,takahashi@example.com,test,1,1,0,1,2023-10-05 14:00:00
6,伊藤舞,ito@example.com,test,0,1,1,0,2023-10-06 15:00:00
7,渡辺大輔,watanabe@example.com,test,1,0,0,1,2023-10-07 16:00:00
8,中村優子,nakamura@example.com,test,0,1,1,1,2023-10-08 17:00:00
9,小林直樹,kobayashi@example.com,test,1,1,0,0,2023-10-09 18:00:00
10,加藤愛,katou@example.com,test,0,0,1,1,2023-10-10 19:00:00
